City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,luanda,-8.8368,13.2343,29.0,84,75,4.63,AO,1709050895
331,cromer,52.9312,1.2989,7.86,75,97,6.71,GB,1709050781
332,lienz,46.8289,12.769,5.73,100,100,1.73,AT,1709050907
333,conde,-7.2597,-34.9075,29.7,79,75,5.14,BR,1709050907
334,kodinsk,58.6881,99.1844,-18.09,99,100,1.16,RU,1709050908
335,katsuren-haebaru,26.3369,127.8719,19.43,75,100,4.12,JP,1709050908
336,guledagudda,16.05,75.8,29.35,30,6,3.97,IN,1709050908
337,conception bay south,47.4999,-52.9981,3.36,90,75,6.17,CA,1709050908
338,petropavlovka,50.6114,105.3196,-19.2,88,100,2.02,RU,1709050908
339,nyurba,63.2842,118.3319,-24.86,98,22,2.72,RU,1709050908
340,palembang,-2.9167,104.7458,26.05,94,40,2.06,ID,1709050909
341,leskovac,42.9981,21.9461,16.77,51,100,4.2,RS,1709050909
342,choibalsan,48.0667,114.5,-21.42,86,92,1.98,MN,1709050909
343,kenora,49.8167,-94.4337,-17.35,78,100,6.17,CA,1709050909
344,kayyerkan,69.3786,87.7439,-10.39,92,100,5.04,RU,1709050909
345,port shepstone,-30.7414,30.455,21.69,63,58,4.37,ZA,1709050909
346,tikhvin,59.6451,33.5294,1.79,100,100,1.72,RU,1709050910
347,parham,17.0968,-61.7705,27.83,61,40,5.66,AG,1709050911
348,bardai,11.65,7.2333,35.77,10,18,2.51,NG,1709050911
349,vizinga,61.0749,50.1031,-2.76,94,100,3.6,RU,1709050912
350,popondetta,-8.7537,148.2534,23.71,97,99,1.47,PG,1709050912
351,galliano,29.4422,-90.2992,23.89,78,100,7.72,US,1709050912
352,chukhloma,58.7525,42.6825,-1.06,95,100,4.02,RU,1709050912
353,saudarkrokur,65.7461,-19.6394,-4.0,95,100,6.2,IS,1709050912
354,nikolayevsk-on-amure,53.1406,140.73,-20.86,100,40,0.58,RU,1709050913
355,as sulayyil,20.4607,45.5779,25.14,30,2,5.51,SA,1709050913
356,flying fish cove,-10.4217,105.6791,24.82,100,100,2.06,CX,1709050914
357,rikaze,29.25,88.8833,3.53,19,51,4.37,CN,1709050914
358,saldanha,-33.0117,17.9442,32.03,54,17,5.4,ZA,1709050914
359,mian channun,30.44,72.3543,15.57,34,13,2.71,PK,1709050914
360,tocopilla,-22.092,-70.1979,23.17,71,20,3.14,CL,1709050914
361,kendari,-3.945,122.4989,25.17,91,50,0.67,ID,1709050914
362,hun,29.1268,15.9477,27.26,10,1,6.93,LY,1709050915
363,harper,4.375,-7.7169,29.82,71,66,3.97,LR,1709050915
364,khatima,28.9167,79.9667,14.86,58,22,3.51,IN,1709050915
365,kerikeri,-35.2268,173.9474,13.28,92,100,1.73,NZ,1709050915
366,tidjikja,18.5564,-11.4271,34.38,5,0,2.21,MR,1709050915
367,keelung,25.1283,121.7419,14.97,94,100,4.56,TW,1709050916
368,port blair,11.6667,92.75,28.02,78,4,1.54,IN,1709050916
369,cabo san lucas,22.8909,-109.9124,24.61,56,40,1.54,MX,1709050571
370,laascaanood,8.4774,47.3597,28.31,34,77,2.53,SO,1709050778
371,emporia,38.4039,-96.1817,19.17,32,0,10.29,US,1709050916
372,imbituba,-28.24,-48.6703,27.14,94,100,2.29,BR,1709050916
373,parras de la fuente,25.4167,-102.1833,22.08,18,74,2.21,MX,1709050916
374,berdigestyakh,62.0989,126.6992,-30.14,100,100,1.0,RU,1709050917
375,dadukou,26.5479,101.7054,16.09,38,100,1.72,CN,1709050917
376,iwanai,42.9744,140.5089,-3.96,78,91,3.93,JP,1709050917
377,oodweyne,9.4092,45.064,27.24,36,54,3.91,SO,1709050917
378,sitangkai,4.6628,119.3928,27.89,77,100,5.02,PH,1709050917
379,bonthe,7.5264,-12.505,31.11,64,100,6.38,SL,1709050918
380,siniscola,40.5719,9.6922,13.75,77,93,2.34,IT,1709050918
381,otjiwarongo,-20.4637,16.6477,27.24,40,84,2.81,NA,1709050918
382,kaiama,9.6225,3.9481,39.43,9,49,2.03,NG,1709050918
383,antigonish,45.6169,-61.9986,5.64,98,75,3.1,CA,1709050918
384,quellon,-43.1167,-73.6167,12.77,97,100,6.21,CL,1709050646
385,tual,-5.6667,132.75,31.12,64,93,5.3,ID,1709050918
386,lubang,13.8584,120.124,25.72,73,0,11.48,PH,1709050919
387,vidisha,23.5333,77.8167,20.37,76,31,3.08,IN,1709050919
388,coquimbo,-29.9533,-71.3436,20.71,71,63,2.97,CL,1709050396
389,nkhotakota,-12.9274,34.2961,22.43,91,100,2.5,MW,1709050919
390,watford city,47.8022,-103.2832,-17.08,71,40,6.69,US,1709050805
391,hotan,37.0997,79.9269,2.46,54,95,0.95,CN,1709050920
392,shinas,24.7433,56.4658,23.14,57,0,1.4,OM,1709050920
393,chegdomyn,51.1167,133.0167,-21.08,98,100,0.6,RU,1709050920
394,betio village,1.358,172.9211,28.02,81,12,5.61,KI,1709050920
395,mwingi,-0.9344,38.0601,24.11,73,83,1.78,KE,1709050920
396,bairnsdale,-37.8333,147.6167,15.03,95,82,1.49,AU,1709050920
397,sonoita,31.85,-112.8333,16.62,57,100,3.69,MX,1709050920
398,magistral'nyy,56.1725,107.4458,-18.68,98,100,0.92,RU,1709050921
399,mejit,10.2753,170.8646,26.95,78,84,7.99,MH,1709050921
400,najran,17.4924,44.1277,25.36,43,0,5.45,SA,1709050921
401,sehwan,26.4279,67.863,19.62,45,2,2.21,PK,1709050921
402,badger,64.8,-147.5333,-19.86,73,75,2.06,US,1709050921
403,gamay,12.3854,125.2979,24.71,78,20,4.65,PH,1709050922
404,tchibanga,-2.85,11.0333,28.21,76,96,2.39,GA,1709050922
405,redlands,34.0556,-117.1825,13.39,94,100,0.0,US,1709050922
406,colipapa,9.4726,122.5616,25.89,72,1,7.51,PH,1709050922
407,ozark,37.0209,-93.206,24.34,43,91,2.68,US,1709050922
408,mundri,-6.9558,111.71,25.3,91,98,1.36,ID,1709050923
409,inhambane,-23.865,35.3833,26.99,83,40,7.72,MZ,1709050923
410,piriyapatna,12.3397,76.0992,22.62,56,16,0.91,IN,1709050923
411,swakopmund,-22.6833,14.5333,18.88,81,49,3.13,NA,1709050923
412,oneonta,42.4529,-75.0638,15.72,65,25,6.11,US,1709050879
413,yigo village,13.5361,144.8886,25.16,77,20,5.14,GU,1709050924
414,cedeira,43.6797,-8.0209,12.76,63,100,3.6,ES,1709050924
415,cockburn town,21.4612,-71.1419,24.01,74,85,9.47,TC,1709050924
416,fairfax,38.8501,-77.3497,17.09,50,100,6.17,US,1709050831
417,yefremov,53.1481,38.0992,-5.44,89,94,4.8,RU,1709050924
418,andovoranto,-18.95,49.1,26.04,90,100,1.21,MG,1709050925
